frame,track_id,x1,y1,x2,y2
107,3,691,388,1386,792
108,3,689,387,1383,790
109,3,679,388,1372,790
110,3,672,386,1363,787
111,3,670,385,1358,785
112,3,667,384,1354,783
113,3,702,375,1375,763
114,3,703,373,1373,759
115,3,705,371,1370,755
116,3,706,369,1368,751
117,3,707,367,1366,747
118,3,708,366,1364,743
119,3,710,364,1362,740
120,3,711,362,1359,736
121,3,712,360,1357,732
122,3,714,358,1355,728
122,9,748,326,1488,665
123,3,715,356,1353,724
123,9,750,324,1487,661
124,3,716,354,1351,720
124,9,752,323,1486,658
125,3,717,353,1348,716
125,9,755,321,1485,655
126,3,719,351,1346,712
126,9,757,319,1484,652
127,3,720,349,1344,709
127,9,759,318,1483,649
128,3,721,347,1342,705
128,9,781,327,1527,667
129,3,723,345,1340,701
129,9,786,329,1537,669
130,3,724,343,1338,697
130,9,787,332,1546,676
131,3,725,341,1335,693
131,9,787,335,1557,682
132,3,726,340,1333,689
132,9,790,338,1567,688
133,3,728,338,1331,685
133,9,796,334,1567,680
134,3,729,336,1329,682
134,9,803,327,1565,667
135,3,730,334,1327,678
135,9,808,327,1570,667
136,3,732,332,1324,674
136,9,816,316,1564,647
137,3,733,330,1322,670
137,9,821,312,1563,637
138,3,734,328,1320,666
138,9,822,308,1564,631
139,3,735,327,1318,662
139,9,828,306,1566,627
140,3,737,325,1316,658
140,9,834,304,1568,623
141,3,738,323,1313,655
141,9,840,302,1569,619
142,3,739,321,1311,651
142,9,845,300,1571,615
143,3,741,319,1309,647
143,9,851,298,1572,611
144,9,818,309,1563,628
145,9,811,310,1568,633
146,9,807,312,1571,635
147,9,806,309,1572,632
148,9,807,309,1572,630
149,9,810,304,1567,619
150,9,810,302,1566,615
151,9,809,301,1567,612
152,9,807,300,1568,611
153,9,806,300,1571,610
154,9,804,301,1574,612
155,9,805,300,1574,611
156,9,800,302,1578,616
157,9,798,301,1577,615
158,9,799,301,1577,614
159,9,800,300,1577,613
160,9,801,300,1576,612
161,9,801,299,1576,611
162,9,802,299,1575,610
163,9,803,298,1575,609
164,9,804,298,1574,608
165,9,805,297,1574,607
166,9,805,297,1574,606
167,9,710,301,1481,614
168,9,699,301,1463,614
169,9,689,301,1449,615
170,9,681,301,1441,615
171,9,674,301,1433,615
172,9,666,301,1425,615
173,9,658,301,1417,614
174,9,650,301,1409,614
175,9,643,301,1401,614
176,9,635,301,1394,614
177,9,627,301,1386,614
178,9,619,300,1378,614
179,9,612,300,1370,613
180,9,604,300,1362,613
181,9,596,300,1354,613
182,9,588,300,1346,613
183,9,581,300,1338,613
184,9,573,300,1330,613
185,9,565,300,1323,612
186,9,684,310,1453,633
187,9,705,314,1474,640
188,9,705,315,1476,641
189,9,747,323,1536,658
190,9,769,329,1572,671
191,9,787,336,1606,686
192,9,805,343,1640,700
193,9,822,348,1668,710
194,9,831,352,1686,717
195,9,841,355,1703,724
196,9,851,358,1721,730
197,9,860,361,1738,737
198,9,870,365,1755,744
199,9,879,368,1773,750
200,9,897,371,1801,757
201,9,904,373,1815,762
202,9,911,374,1828,765
203,9,916,377,1839,770
204,9,919,380,1848,776
205,9,928,383,1864,782
206,9,937,386,1880,788
207,9,945,389,1896,794
208,9,917,390,1872,798
209,9,917,394,1873,804
210,9,921,397,1884,809
211,9,926,400,1896,815
212,9,912,401,1883,819
213,9,910,404,1882,825
214,9,910,408,1881,830
215,9,908,411,1882,836
216,9,908,413,1882,840
217,9,909,416,1889,846
218,9,909,418,1895,851
219,9,910,421,1902,857
220,9,910,424,1909,862
221,9,911,427,1916,868
222,9,912,430,1922,873
223,9,912,432,1929,879
224,9,848,407,1797,828
225,9,839,407,1777,827
226,9,829,405,1759,826
227,9,821,405,1739,824
228,9,814,403,1720,820
229,9,804,401,1703,818
230,9,796,401,1695,818
231,9,786,402,1677,819
232,9,781,402,1662,817
233,9,774,402,1651,819
234,9,765,401,1642,819
235,9,756,401,1633,818
236,9,753,402,1620,819
237,9,749,402,1607,819
238,9,745,400,1595,817
239,9,741,403,1587,821
240,9,737,404,1577,822
241,9,729,404,1568,822
242,9,721,404,1560,823
243,9,712,405,1552,823
244,9,704,405,1544,823
245,9,711,405,1541,824
246,9,703,406,1534,825
247,9,696,406,1526,825
248,9,704,405,1523,824
249,9,704,404,1513,822
250,9,704,404,1506,823
251,9,705,404,1499,823
252,9,700,405,1494,823
253,9,694,405,1488,823
254,9,688,405,1482,823
255,9,683,405,1477,823
256,9,677,405,1471,823
257,9,672,405,1466,823
258,9,666,405,1460,823
259,9,660,405,1454,823
260,9,655,405,1449,823
261,9,649,405,1443,823
262,9,643,405,1437,823
263,9,638,405,1432,823
264,9,632,405,1426,824
265,9,627,405,1420,824
266,9,621,405,1415,824
267,9,615,405,1409,824
268,9,610,405,1404,824
269,9,604,405,1398,824
270,9,599,406,1392,824
271,9,593,406,1387,824
272,9,597,393,1338,799
273,9,591,392,1331,798
274,9,591,390,1307,793
275,9,590,388,1290,791
276,9,583,387,1282,789
277,9,582,386,1269,788
278,9,582,386,1258,787
279,9,575,385,1250,785
280,9,569,384,1242,784
281,9,562,383,1235,782
282,9,556,382,1227,780
283,9,549,381,1219,779
284,9,543,380,1212,777
285,9,561,385,1225,787
286,9,556,385,1219,786
287,9,551,384,1214,786
288,9,546,384,1209,785
289,9,541,384,1203,784
290,9,536,383,1198,784
291,9,531,383,1192,783
292,9,526,383,1187,783
293,9,521,382,1182,782
294,9,516,382,1176,781
295,9,511,381,1171,781
296,9,506,381,1166,780
297,9,501,381,1160,780
298,9,496,380,1155,779
299,9,491,380,1149,778
300,9,486,379,1144,778
301,9,481,379,1139,777
302,9,476,379,1133,777
303,9,471,378,1128,776
304,9,466,378,1122,775
305,9,461,378,1117,775
306,9,456,377,1112,774
307,9,451,377,1106,774
308,9,446,376,1101,773
309,9,441,376,1096,772
310,9,436,376,1090,772
311,9,431,375,1085,771
312,9,426,375,1079,770
313,9,421,375,1074,770
314,9,416,374,1069,769
315,9,411,374,1063,769
327,28,1137,315,2257,644
328,28,1173,311,2283,636
329,28,1196,309,2303,633
330,28,1219,308,2322,631
331,28,1242,306,2341,628
332,28,1266,305,2361,626
333,28,1289,303,2380,623
334,28,1312,302,2400,621
335,28,1335,300,2419,618
336,28,1358,299,2438,615
337,28,1381,297,2458,613
338,28,1404,296,2477,610
339,28,1427,294,2497,608
340,28,1450,293,2516,605
341,28,1473,291,2535,603
342,28,1496,290,2555,600
343,28,1519,288,2574,597
344,28,1542,286,2594,595
345,28,1565,285,2613,592
346,28,1588,283,2633,590
347,28,1611,282,2652,587
348,28,1634,280,2671,584
349,28,1657,279,2691,582
350,28,1680,277,2710,579
351,28,1703,276,2730,577
352,28,1726,274,2749,574
353,28,1749,273,2768,572
354,28,1772,271,2788,569
355,28,1795,270,2807,566
356,28,1818,268,2827,564
357,28,1841,267,2846,561
358,28,1864,265,2865,559
